Far field
"Theta"[deg]	"FarField1 []"	
-9.00000000E+01	1.38777878E-17	
-8.90000000E+01	7.52389338E-04	
-8.80000000E+01	3.00637799E-03	
-8.70000000E+01	6.75244957E-03	
-8.60000000E+01	1.19748155E-02	
-8.50000000E+01	1.86515224E-02	
-8.40000000E+01	2.67546012E-02	
-8.30000000E+01	3.62502558E-02	
-8.20000000E+01	4.70990908E-02	
-8.10000000E+01	5.92563747E-02	
-8.00000000E+01	7.26723374E-02	
-7.90000000E+01	8.72924979E-02	
-7.80000000E+01	1.03058021E-01	
-7.70000000E+01	1.19906097E-01	
-7.60000000E+01	1.37770345E-01	
-7.50000000E+01	1.56581231E-01	
-7.40000000E+01	1.76266502E-01	
-7.30000000E+01	1.96751629E-01	
-7.20000000E+01	2.17960260E-01	
-7.10000000E+01	2.39814669E-01	
-7.00000000E+01	2.62236209E-01	
-6.90000000E+01	2.85145761E-01	
-6.80000000E+01	3.08464171E-01	
-6.70000000E+01	3.32112679E-01	
-6.60000000E+01	3.56013332E-01	
-6.50000000E+01	3.80089383E-01	
-6.40000000E+01	4.04265664E-01	
-6.30000000E+01	4.28468942E-01	
-6.20000000E+01	4.52628251E-01	
-6.10000000E+01	4.76675194E-01	
-6.00000000E+01	5.00544222E-01	
-5.90000000E+01	5.24172881E-01	
-5.80000000E+01	5.47502034E-01	
-5.70000000E+01	5.70476048E-01	
-5.60000000E+01	5.93042956E-01	
-5.50000000E+01	6.15154585E-01	
-5.40000000E+01	6.36766656E-01	
-5.30000000E+01	6.57838856E-01	
-5.20000000E+01	6.78334880E-01	
-5.10000000E+01	6.98222446E-01	
-5.00000000E+01	7.17473284E-01	
-4.90000000E+01	7.36063101E-01	
-4.80000000E+01	7.53971523E-01	
-4.70000000E+01	7.71182012E-01	
-4.60000000E+01	7.87681770E-01	
-4.50000000E+01	8.03461618E-01	
-4.40000000E+01	8.18515861E-01	
-4.30000000E+01	8.32842143E-01	
-4.20000000E+01	8.46441282E-01	
-4.10000000E+01	8.59317100E-01	
-4.00000000E+01	8.71476246E-01	
-3.90000000E+01	8.82928001E-01	
-3.80000000E+01	8.93684095E-01	
-3.70000000E+01	9.03758505E-01	
-3.60000000E+01	9.13167257E-01	
-3.50000000E+01	9.21928232E-01	
-3.40000000E+01	9.30060966E-01	
-3.30000000E+01	9.37586452E-01	
-3.20000000E+01	9.44526952E-01	
-3.10000000E+01	9.50905808E-01	
-3.00000000E+01	9.56747259E-01	
-2.90000000E+01	9.62076263E-01	
-2.80000000E+01	9.66918328E-01	
-2.70000000E+01	9.71299349E-01	
-2.60000000E+01	9.75245452E-01	
-2.50000000E+01	9.78782847E-01	
-2.40000000E+01	9.81937690E-01	
-2.30000000E+01	9.84735947E-01	
-2.20000000E+01	9.87203277E-01	
-2.10000000E+01	9.89364916E-01	
-2.00000000E+01	9.91245569E-01	
-1.90000000E+01	9.92869313E-01	
-1.80000000E+01	9.94259510E-01	
-1.70000000E+01	9.95438719E-01	
-1.60000000E+01	9.96428626E-01	
-1.50000000E+01	9.97249972E-01	
-1.40000000E+01	9.97922496E-01	
-1.30000000E+01	9.98464874E-01	
-1.20000000E+01	9.98894677E-01	
-1.10000000E+01	9.99228321E-01	
-1.00000000E+01	9.99481032E-01	
-9.00000000E+00	9.99666809E-01	
-8.00000000E+00	9.99798399E-01	
-7.00000000E+00	9.99887268E-01	
-6.00000000E+00	9.99943578E-01	
-5.00000000E+00	9.99976175E-01	
-4.00000000E+00	9.99992564E-01	
-3.00000000E+00	9.99998906E-01	
-2.00000000E+00	1.00000000E+00	
-1.00000000E+00	9.99999280E-01	
0.00000000E+00	9.99998810E-01	
1.00000000E+00	9.99999277E-01	
2.00000000E+00	9.99999992E-01	
3.00000000E+00	9.99998895E-01	
4.00000000E+00	9.99992549E-01	
5.00000000E+00	9.99976157E-01	
6.00000000E+00	9.99943557E-01	
7.00000000E+00	9.99887244E-01	
8.00000000E+00	9.99798373E-01	
9.00000000E+00	9.99666781E-01	
1.00000000E+01	9.99481003E-01	
1.10000000E+01	9.99228291E-01	
1.20000000E+01	9.98894647E-01	
1.30000000E+01	9.98464844E-01	
1.40000000E+01	9.97922465E-01	
1.50000000E+01	9.97249943E-01	
1.60000000E+01	9.96428598E-01	
1.70000000E+01	9.95438693E-01	
1.80000000E+01	9.94259485E-01	
1.90000000E+01	9.92869291E-01	
2.00000000E+01	9.91245549E-01	
2.10000000E+01	9.89364898E-01	
2.20000000E+01	9.87203262E-01	
2.30000000E+01	9.84735934E-01	
2.40000000E+01	9.81937679E-01	
2.50000000E+01	9.78782840E-01	
2.60000000E+01	9.75245447E-01	
2.70000000E+01	9.71299346E-01	
2.80000000E+01	9.66918327E-01	
2.90000000E+01	9.62076264E-01	
3.00000000E+01	9.56747261E-01	
3.10000000E+01	9.50905811E-01	
3.20000000E+01	9.44526956E-01	
3.30000000E+01	9.37586456E-01	
3.40000000E+01	9.30060971E-01	
3.50000000E+01	9.21928238E-01	
3.60000000E+01	9.13167262E-01	
3.70000000E+01	9.03758510E-01	
3.80000000E+01	8.93684100E-01	
3.90000000E+01	8.82928005E-01	
4.00000000E+01	8.71476249E-01	
4.10000000E+01	8.59317103E-01	
4.20000000E+01	8.46441284E-01	
4.30000000E+01	8.32842145E-01	
4.40000000E+01	8.18515863E-01	
4.50000000E+01	8.03461619E-01	
4.60000000E+01	7.87681771E-01	
4.70000000E+01	7.71182012E-01	
4.80000000E+01	7.53971522E-01	
4.90000000E+01	7.36063100E-01	
5.00000000E+01	7.17473283E-01	
5.10000000E+01	6.98222445E-01	
5.20000000E+01	6.78334879E-01	
5.30000000E+01	6.57838855E-01	
5.40000000E+01	6.36766655E-01	
5.50000000E+01	6.15154584E-01	
5.60000000E+01	5.93042956E-01	
5.70000000E+01	5.70476048E-01	
5.80000000E+01	5.47502034E-01	
5.90000000E+01	5.24172881E-01	
6.00000000E+01	5.00544222E-01	
6.10000000E+01	4.76675194E-01	
6.20000000E+01	4.52628251E-01	
6.30000000E+01	4.28468942E-01	
6.40000000E+01	4.04265663E-01	
6.50000000E+01	3.80089382E-01	
6.60000000E+01	3.56013330E-01	
6.70000000E+01	3.32112676E-01	
6.80000000E+01	3.08464168E-01	
6.90000000E+01	2.85145758E-01	
7.00000000E+01	2.62236206E-01	
7.10000000E+01	2.39814665E-01	
7.20000000E+01	2.17960256E-01	
7.30000000E+01	1.96751625E-01	
7.40000000E+01	1.76266497E-01	
7.50000000E+01	1.56581226E-01	
7.60000000E+01	1.37770340E-01	
7.70000000E+01	1.19906093E-01	
7.80000000E+01	1.03058017E-01	
7.90000000E+01	8.72924940E-02	
8.00000000E+01	7.26723338E-02	
8.10000000E+01	5.92563716E-02	
8.20000000E+01	4.70990882E-02	
8.30000000E+01	3.62502537E-02	
8.40000000E+01	2.67545996E-02	
8.50000000E+01	1.86515213E-02	
8.60000000E+01	1.19748147E-02	
8.70000000E+01	6.75244912E-03	
8.80000000E+01	3.00637779E-03	
8.90000000E+01	7.52389286E-04	
9.00000000E+01	1.83314068E-32	
